zone,month,season,towns_used,temperature_avg_C,temperature_max_C,temperature_min_C,rainfall_mm,humidity_pct,elevation_m
northern_zone,1,dry_season,Kozhikode,28.0,33.0,23.1,1.6,64.0,15.0
northern_zone,2,dry_season,Kozhikode,28.8,33.5,24.1,4.8,65.0,15.0
northern_zone,3,dry_season,Kozhikode,30.0,34.2,25.7,14.6,68.0,15.0
northern_zone,4,dry_season,Kozhikode,30.4,34.4,26.5,83.5,70.0,15.0
northern_zone,5,dry_season,Kozhikode,30.0,33.7,26.3,223.5,74.0,15.0
northern_zone,6,southwest_monsoon,Kozhikode,27.5,30.6,24.4,782.9,84.0,15.0
northern_zone,7,southwest_monsoon,Kozhikode,26.7,29.6,23.8,750.0,87.0,15.0
northern_zone,8,southwest_monsoon,Kozhikode,26.9,29.8,24.0,432.6,85.0,15.0
northern_zone,9,southwest_monsoon,Kozhikode,27.6,30.9,24.3,273.3,81.0,15.0
northern_zone,10,northeast_monsoon,Kozhikode,28.1,31.8,24.4,302.6,78.0,15.0
northern_zone,11,northeast_monsoon,Kozhikode,28.4,32.6,24.3,120.4,73.0,15.0
northern_zone,12,northeast_monsoon,Kozhikode,28.0,32.9,23.2,21.9,66.0,15.0
high_ranges,1,dry_season,Munnar,17.6,22.4,12.9,18.0,70.0,1532.0
high_ranges,2,dry_season,Munnar,18.7,23.7,13.7,29.0,70.0,1532.0
high_ranges,3,dry_season,Munnar,20.2,25.3,15.1,47.0,72.0,1532.0
high_ranges,4,dry_season,Munnar,21.0,25.6,16.5,129.0,75.0,1532.0
high_ranges,5,dry_season,Munnar,21.5,25.6,17.3,189.0,78.0,1532.0
high_ranges,6,southwest_monsoon,Munnar,20.3,23.7,16.9,420.0,85.0,1532.0
high_ranges,7,southwest_monsoon,Munnar,19.4,22.4,16.3,583.0,85.0,1532.0
high_ranges,8,southwest_monsoon,Munnar,19.6,22.8,16.3,364.0,85.0,1532.0
high_ranges,9,southwest_monsoon,Munnar,19.6,23.2,16.0,210.0,80.0,1532.0
high_ranges,10,northeast_monsoon,Munnar,19.2,22.7,15.7,253.0,78.0,1532.0
high_ranges,11,northeast_monsoon,Munnar,18.3,21.8,14.8,164.0,75.0,1532.0
high_ranges,12,northeast_monsoon,Munnar,17.7,21.9,13.5,64.0,72.0,1532.0
